length of array, time
2000, 619234
2100, 134041
2200, 186525
2300, 194455
2400, 191056
2500, 214467
2600, 148012
2700, 150277
2800, 161227
2900, 166136
3000, 170289
3100, 177841
3200, 186148
3300, 188414
3400, 197853
3500, 284697
3600, 223528
3700, 218998
3800, 220886
3900, 234100
4000, 232968
4100, 250337
4200, 357570
4300, 332272
4400, 261286
4500, 267328
4600, 271481
4700, 280543
4800, 285452
4900, 291493
5000, 308862
5100, 354927
5200, 362478
5300, 360968
5400, 371540
5500, 371162
5600, 385133
5700, 381357
5800, 403634
5900, 404012
6000, 411941
6100, 417227
6200, 430443
6300, 434218
6400, 440260
6500, 444790
6600, 459517
6700, 461782
6800, 472732
6900, 481039
7000, 524460
7100, 478396
7200, 504826
7300, 501806
7400, 518419
7500, 531257
7600, 534656
7700, 536920
7800, 547116
7900, 550514
8000, 558065
8100, 569771
8200, 574679
8300, 606773
8400, 597334
8500, 595824
8600, 611304
8700, 626030
8800, 619989
8900, 632071
9000, 636225
9100, 652083
9200, 757429
9300, 700791
9400, 714762
9500, 749499
9600, 690975
9700, 684555
9800, 701924
9900, 702302
10000, 721935
10100, 712496
10200, 721181
10300, 747612
10400, 749877
10500, 802360
10600, 743458
10700, 769511
10800, 786502
10900, 783482
11000, 798207
11100, 836720
11200, 809912
11300, 817087
11400, 835965
11500, 932626
11600, 830302
11700, 855599
11800, 850692
11900, 860886
12000, 874857
12100, 902042
12200, 890337
12300, 902420
12400, 904685
12500, 986620
12600, 928850
12700, 939800
12800, 928850
12900, 952639
13000, 937157
13100, 951883
13200, 957169
13300, 982845
13400, 1222987
13500, 1003989
13600, 1020225
13700, 1011918
13800, 1072709
13900, 1378173
14000, 1057228
14100, 1056095
14200, 1051187
14300, 1158042
14400, 1084414
14500, 1076862
14600, 1111600
14700, 1088945
14800, 1097252
14900, 1111600
15000, 1107069
15100, 4063532
15200, 1486161
15300, 1241865
15400, 1263388
15500, 1272072
15600, 1434432
15700, 1475966
15800, 1437453
15900, 1315116
16000, 1483895
16100, 2957596
16200, 1491447
16300, 1532981
16400, 1601323
16500, 1633418
16600, 1537889
16700, 1394786
16800, 1357783
16900, 1352497
17000, 1276225
17100, 1275470
17200, 1314361
17300, 1283021
17400, 1312096
17500, 1331730
17600, 1321913
17700, 1320780
17800, 1350986
17900, 1375530
18000, 1378172
18100, 1407246
18200, 1382704
18300, 1383081
18400, 1403848
18500, 1419706
18600, 1408756
18700, 1642102
18800, 1428768
18900, 1452179
19000, 1456331
19100, 1445004
19200, 1435188
19300, 1465771
19400, 1492202
19500, 1518632
19600, 1500509
19700, 1493335
19800, 1517878
19900, 1532981
20000, 1529960
20100, 1555258
20200, 1549217
20300, 1757642
20400, 1595281
20500, 1579801
20600, 1577913
20700, 1557524
20800, 1604343
20900, 1605098
21000, 1616804
21100, 2040450
21200, 1613406
21300, 1603966
21400, 1641724
21500, 1659093
21600, 1673818
21700, 1688544
21800, 1716108
21900, 1678350
22000, 1845996
22100, 1739518
22200, 1697228
22300, 1728568
22400, 1743671
22500, 1747069
22600, 1732721
22700, 1817678
22800, 2603424
22900, 2049512
23000, 2213760
23100, 2261713
23200, 2223200
23300, 2270020
23400, 2260957
23500, 2239058
23600, 2241701
23700, 2319861
23800, 2153347
23900, 2099353
24000, 1910184
24100, 1917736
24200, 1905276
24300, 1918114
24400, 2630233
24500, 2320238
24600, 2387070
24700, 2903602
24800, 2794858
24900, 2663082
25000, 2657418
25100, 3405030
25200, 3849066
25300, 2799767
25400, 2012131
25500, 2052155
25600, 1991365
25700, 2008356
25800, 2014775
25900, 2108037
26000, 2028368
26100, 2056687
26200, 2072545
26300, 2063860
26400, 2063106
26500, 2316462
26600, 2129182
26700, 2099731
26800, 2122763
26900, 2127671
27000, 2132958
27100, 2109925
27200, 2126539
27300, 2156745
27400, 2165808
27500, 2199034
27600, 2241323
27700, 2198280
27800, 2157123
27900, 2184309
28000, 2233017
28100, 2201677
28200, 2336474
28300, 2217914
28400, 2274173
28500, 2255672
28600, 2273040
28700, 2306267
28800, 2377631
28900, 2330056
29000, 2297961
29100, 2324391
29200, 2359884
29300, 2337229
29400, 2322126
29500, 2280215
29600, 2390091
29700, 2366680
29800, 2333831
29900, 2402551
30000, 2384805
30100, 2420298
30200, 2702351
30300, 2366680
30400, 2373855
30500, 2449749
30600, 2430114
30700, 2567554
30800, 2410103
30900, 2471271
31000, 2437666
31100, 2525643
31200, 2529041
31300, 2536592
31400, 2595118
31500, 2510162
31600, 2516581
31700, 2666103
31800, 2568309
31900, 2505631
32000, 2553961
32100, 2919082
32200, 2872640
32300, 3084086
32400, 3256262
32500, 3194339
32600, 3259283
32700, 3249466
32800, 3260416
32900, 2989690
33000, 2785041
33100, 2654398
33200, 2658173
33300, 2706504
33400, 2766540
33500, 2656286
33600, 2774846
33700, 2644958
33800, 2741619
33900, 3059165
34000, 2709902
34100, 3010079
34200, 2751059
34300, 2724250
34400, 2732558
34500, 2780887
34600, 2970056
34700, 2799389
34800, 2788061
34900, 3090505
35000, 2809584
35100, 2849608
35200, 2847342
35300, 2897183
35400, 3056899
35500, 2836770
35600, 2854516
35700, 2890386
35800, 2857536
35900, 2918328
36000, 2902846
36100, 2938339
36200, 2916439
36300, 3066716
36400, 2961749
36500, 2951555
36600, 2980251
36700, 2917949
36800, 2977986
36900, 2962127
37000, 3031601
37100, 3025182
37200, 3033489
37300, 3106740
37400, 3008191
37500, 3659142
37600, 3568523
37700, 3648570
37800, 3806776
37900, 3842647
38000, 4522293
38100, 4444512
38200, 3339709
38300, 3151673
38400, 3127508
38500, 3777703
38600, 3365384
38700, 3150162
38800, 3163000
38900, 3163378
39000, 3382375
39100, 4538530
39200, 3661407
39300, 3400877
39400, 3226433
39500, 3284204
39600, 4303297
39700, 4592146
39800, 3465443
39900, 3424287
